user_id,Font color (control),Font color (pilot),Background color (control),Background color (pilot)
03e1b2,1,0,1,0
681fab,1,0,0,0
ed5347,1,0,0,0
70fe51,1,0,0,1
cb44e9,1,0,1,0
7123b6,1,0,1,0
7ee8a0,1,0,0,1
17ea96,1,0,0,0
00b49a,1,0,0,0
ebedbf,1,0,0,0
d8ac27,1,0,0,0
8b64d3,1,0,0,0
ffa083,1,0,0,0
a79d79,1,0,0,1
209232,1,0,0,0
ded419,1,0,0,0
2d65ee,1,0,1,0
915a6f,1,0,1,0
e5743c,1,0,0,0
786efe,1,0,0,0
67c7df,1,0,0,1
535d6a,1,0,0,0
b35524,1,0,0,0
8c9656,1,0,0,1
b4f217,1,0,0,0
4e8ef8,1,0,0,0
6be9a6,1,0,0,1
7dec32,1,0,0,0
5161c0,1,0,0,0
7b972f,1,0,0,0
d519a6,1,0,0,0
e5394c,1,0,0,0
e082aa,1,0,0,0
eea1d4,1,0,0,0
821b7f,1,0,0,0
33aae1,1,0,0,0
080f6c,1,0,0,0
c2b8ab,1,0,0,0
ce143f,1,0,0,0
e38354,1,0,0,0
5d32ce,1,0,0,0
4b6609,1,0,0,0
737ffa,1,0,1,0
5d9368,1,0,0,1
f7c6fb,1,0,0,0
824599,1,0,0,0
7d7af5,1,0,0,0
ac81be,1,0,0,0
636ea7,1,0,0,0
da9dae,1,0,0,0
dabebc,1,0,1,0
642a15,1,0,0,1
0cc3be,1,0,0,0
fd9ffb,1,0,0,0
d0c0b2,1,0,1,0
a71e74,1,0,0,0
06eb31,1,0,0,0
a88d98,1,0,0,0
e534c6,1,0,0,0
cbefd1,1,0,0,0
dd4239,1,0,0,1
3b20a0,1,0,0,0
e12f9c,1,0,0,0
4d05cb,1,0,1,0
1a860b,1,0,0,0
8362f9,1,0,0,0
946a4d,1,0,0,0
ee6343,1,0,0,0
cf859b,1,0,0,0
dcd487,1,0,0,0
cb631e,1,0,1,0
333c66,1,0,0,0
d3bdbf,1,0,0,0
a40fdd,1,0,0,0
68efd0,1,0,0,0
49dfa6,1,0,0,0
16ac11,1,0,0,0
d6d926,1,0,1,0
8a2888,1,0,0,0
000f2a,1,0,0,1
4ba8c3,1,0,0,0
67453a,1,0,0,0
98242f,1,0,0,0
6aa353,1,0,0,0
c9daeb,1,0,0,0
e43145,1,0,0,0
a88b51,1,0,0,1
bb9f5a,1,0,0,0
f97043,1,0,0,0
c07ba4,1,0,1,0
c5608f,1,0,0,0
ed7105,1,0,0,0
1680c5,1,0,0,0
cea0f1,1,0,0,0
f95732,1,0,0,0
7503a2,1,0,1,0
a84d4d,1,0,1,0
5ce38e,1,0,0,0
122dd0,1,0,0,0
c2b504,1,0,0,1
d7866e,1,0,0,0
6402eb,1,0,0,0
f58dec,1,0,0,1
bc27bd,1,0,0,1
1f6af3,1,0,0,0
8963be,1,0,0,0
0f36cf,1,0,0,0
78e83d,1,0,0,0
6d2b4a,1,0,0,0
67ed27,1,0,0,0
7dab82,1,0,0,0
b6e8da,1,0,0,0
0ac1d4,1,0,0,0
600700,1,0,0,0
20c8a5,1,0,1,0
9f2247,1,0,0,0
5cd786,1,0,1,0
0de00f,1,0,0,0
4436ed,1,0,0,0
f93262,1,0,0,0
a18e5d,1,0,1,0
21ebe0,1,0,0,1
501e0f,1,0,0,0
0657bd,1,0,0,1
dfd5d2,1,0,0,0
651c33,1,0,0,0
fe434f,1,0,0,0
f4334b,1,0,0,0
4165e2,1,0,0,0
a64816,1,0,0,0
b64628,1,0,0,0
2ecfce,1,0,0,0
0ae3ef,1,0,1,0
830dac,1,0,0,0
e62b1a,1,0,0,0
32e4ba,1,0,1,0
424eb2,1,0,0,0
5763c3,1,0,1,0
b6e3bc,1,0,0,0
597014,1,0,0,0
78207a,1,0,0,0
4c524a,1,0,0,0
ed9f04,1,0,0,1
3ab494,1,0,0,0
90966b,1,0,0,0
085193,1,0,0,0
8de221,1,0,0,0
538591,1,0,1,0
a634a3,1,0,0,0
897df8,1,0,0,0
1e7b75,1,0,1,0
91bb0d,1,0,0,1
ebead4,1,0,0,0
b7ab5c,1,0,0,0
71b851,1,0,0,0
1e775c,1,0,0,0
ebd679,1,0,0,0
16da7a,1,0,0,0
1c6260,1,0,0,0
7503ce,1,0,1,0
203159,1,0,0,0
4ad8ab,1,0,1,0
58ea2a,1,0,0,1
0caef1,1,0,0,0
bbb77a,1,0,0,0
b29212,1,0,0,0
a19fe2,1,0,0,0
708704,1,0,0,0
c0e98b,1,0,0,0
9f7d2c,1,0,0,0
57c0cc,1,0,0,0
b27e97,1,0,0,0
cb3183,1,0,0,0
719e45,1,0,1,0
13b1b9,1,0,0,0
41049c,1,0,1,0
6d288c,1,0,0,0
331a17,1,0,0,0
094b84,1,0,0,0
a116b2,1,0,1,0
b4f3d8,1,0,0,0
a22b37,1,0,0,0
abcc53,1,0,0,0
7b4677,1,0,0,0
95767f,1,0,0,0
4030ca,1,0,0,0
601184,1,0,0,1
2297c7,1,0,0,0
6b6f77,1,0,0,0
a64508,1,0,1,0
0ca05a,1,0,0,0
20c2f7,1,0,0,0
444a02,1,0,0,1
e583ce,1,0,1,0
3728e0,1,0,0,0
19ede4,1,0,0,0
c27c27,1,0,0,0
afe607,1,0,0,1
a9dfa4,1,0,0,0
a27108,1,0,0,1
246765,1,0,0,0
ed1d6a,1,0,0,0
dde5fd,1,0,0,0
e109d7,1,0,1,0
f09f11,1,0,0,0
e8506c,1,0,0,0
a71883,1,0,0,0
903eed,1,0,0,0
e2c300,1,0,0,0
f991da,1,0,0,1
ae09a3,1,0,0,0
8e56f4,1,0,0,0
a57e7e,1,0,0,0
bc6c98,1,0,1,0
c69c03,1,0,0,0
213d52,1,0,0,0
483d70,1,0,0,0
e1cc1a,1,0,0,0
d9d686,1,0,0,1
87a8b5,1,0,0,0
7094b0,1,0,0,0
eecab1,1,0,0,1
b7a245,1,0,0,0
4e8e75,1,0,0,0
e6e823,1,0,0,0
fc8bc8,1,0,0,0
b33857,1,0,0,0
87359b,1,0,0,0
4fcb8c,1,0,0,0
2b601b,1,0,0,0
1614f4,1,0,0,0
e6f7f7,1,0,0,0
2faf91,1,0,0,0
a26bb4,1,0,0,0
8780bd,1,0,0,0
ea9a26,1,0,0,0
fdb9e7,1,0,1,0
ab4f43,1,0,0,1
7296f9,1,0,0,0
ad6da0,1,0,0,0
0c93c4,1,0,0,0
2eff1b,1,0,0,0
b49d8f,1,0,0,0
eb9144,1,0,0,0
1d67a3,1,0,0,1
a3b59e,1,0,1,0
a41397,1,0,0,0
b6f03a,1,0,0,1
20220e,1,0,1,0
d30584,1,0,0,0
01642a,1,0,0,0
824708,1,0,0,0
387aa7,1,0,0,0
498c0c,1,0,0,0
83a58b,1,0,0,0
b4bd7f,1,0,0,0
72259c,1,0,0,0
1d368c,1,0,0,0
a7b102,1,0,0,0
aa1fbf,1,0,0,0
3e626d,1,0,0,0
bbe131,1,0,1,0
ab8e19,1,0,0,0
186b04,1,0,1,0
c8f0f4,1,0,0,0
a6abbd,1,0,0,0
253cea,1,0,0,0
9c1f29,1,0,0,0
0a1dd3,1,0,0,0
af09dd,1,0,0,0
0e8abd,1,0,0,0
9e0814,1,0,1,0
302275,1,0,0,0
5f6581,1,0,0,1
e8d98d,1,0,0,0
f17279,1,0,1,0
83b11d,1,0,0,0
f6c01f,1,0,0,1
208525,1,0,0,0
29b658,1,0,1,0
ce3331,1,0,0,0
30a4bd,1,0,0,0
938a70,1,0,0,0
2b91be,1,0,0,0
d237b6,1,0,0,0
9b386e,1,0,0,0
8e3361,1,0,0,1
b8b04d,1,0,0,0
718443,1,0,1,0
90dc40,1,0,0,0
15b81a,1,0,0,0
2ad9e1,1,0,1,0
bdf421,1,0,0,0
449f8c,1,0,1,0
b43de9,1,0,0,0
1ead89,1,0,0,0
9862cd,1,0,0,0
4a1645,1,0,0,0
2babd6,1,0,0,0
00899b,1,0,0,0
f61a3f,1,0,0,0
7bdb64,1,0,0,0
180198,1,0,0,0
a8799d,1,0,0,0
607e83,1,0,0,0
98e55a,1,0,0,0
85cfd1,1,0,0,0
007c4e,1,0,1,0
a59bf5,1,0,0,0
662a4e,1,0,0,1
0e4330,1,0,0,0
995fa0,1,0,0,0
46fdd2,1,0,0,0
938949,1,0,1,0
7f31e2,1,0,1,0
1474b1,1,0,0,0
f7f048,1,0,0,0
24ffed,1,0,0,0
e7b5a8,1,0,0,0
a33381,1,0,0,0
aaf4ca,1,0,0,0
11cfc1,1,0,0,0
ffabb9,1,0,1,0
5e7169,1,0,0,0
02643f,1,0,0,0
22cb02,1,0,0,0
aff2e0,1,0,0,0
359498,1,0,1,0
52782d,1,0,0,1
bff2b7,1,0,0,0
647ced,1,0,0,0
1ea8d5,1,0,0,0
f1a90d,1,0,0,0
66af5c,1,0,0,0
94b9ed,1,0,0,0
782bf4,1,0,0,0
18ab6d,1,0,0,0
67029f,1,0,0,0
8a3235,1,0,1,0
b88ad9,1,0,0,0
6d0721,1,0,0,0
374dd7,1,0,0,0
839153,1,0,0,0
b68cc0,1,0,0,0
eaa342,1,0,0,0
2d6b1c,1,0,0,0
51e656,1,0,0,0
267bfb,1,0,0,0
68dbd0,1,0,0,0
6c69fb,1,0,0,1
3e0472,1,0,0,0
5a6990,1,0,0,0
bf95e1,1,0,0,0
3c752c,1,0,0,0
803988,1,0,0,0
c5050c,1,0,0,0
ea6939,1,0,1,0
40cadb,1,0,0,0
f40e97,1,0,0,0
2d6f1a,1,0,1,0
9d7b77,1,0,0,0
3a4015,1,0,0,0
5992eb,1,0,0,0
67e0c1,1,0,0,0
462e2c,1,0,0,0
b5c80f,1,0,1,0
bcd10d,1,0,0,0
00c70c,1,0,0,0
a13e92,1,0,0,0
00f4c8,1,0,1,0
673d9c,1,0,0,0
7d73e0,1,0,0,0
0c0b8f,1,0,0,0
fa44c8,1,0,0,0
6162d4,1,0,0,1
faabce,1,0,0,1
8eb30e,1,0,1,0
66323c,1,0,0,1
899722,1,0,1,0
acec6d,1,0,1,0
987f99,1,0,0,0
cc8713,1,0,0,0
85fdfe,1,0,0,0
c5be05,1,0,0,0
f25c57,1,0,0,0
8e6e0a,1,0,0,0
6ba521,1,0,0,0
398df6,1,0,0,0
fc3963,1,0,0,0
3e994c,1,0,0,0
aee52b,1,0,0,0
aeb0bc,1,0,1,0
284c4d,1,0,0,0
d651db,1,0,0,0
d0ce94,1,0,1,0
5b2d05,1,0,0,0
a150cb,1,0,0,0
d0eff4,1,0,0,0
e9c6ad,1,0,0,0
d02bde,1,0,0,1
39ee31,1,0,0,0
4359d7,1,0,1,0
8c8579,1,0,0,0
dfd7b4,1,0,0,0
209134,1,0,0,0
ee18af,1,0,0,0
2e60c4,1,0,0,0
723523,1,0,0,0
153f93,1,0,0,0
3f376e,1,0,0,0
2ff56e,1,0,0,1
7caf10,1,0,1,0
d78e16,1,0,0,0
b5eb81,1,0,0,0
7d384c,1,0,0,0
8848ea,1,0,0,0
d7074a,1,0,0,0
b7a499,1,0,0,0
eed969,1,0,0,0
db096a,1,0,0,0
523593,1,0,0,1
05b97a,1,0,0,0
c37af8,1,0,0,0
edfe45,1,0,0,0
e49cf9,1,0,0,0
77890e,1,0,0,0
3c0604,1,0,0,0
072c67,1,0,0,0
012e2d,1,0,0,0
81aa77,1,0,0,0
93e46c,1,0,0,0
a65b4b,1,0,0,1
8233cf,1,0,0,1
749e96,1,0,1,0
dac2e8,1,0,0,0
44e210,1,0,0,0
f110f8,1,0,0,0
f65f0b,1,0,0,0
ed8efb,1,0,0,1
251bd1,1,0,0,0
38e3f5,1,0,1,0
b7f002,1,0,0,0
4ca705,1,0,0,1
c71cab,1,0,0,0
4c30f2,1,0,0,0
2f9387,1,0,0,0
683c31,1,0,0,0
a57d84,1,0,0,0
9c1d1d,1,0,0,0
7ebd25,1,0,0,0
82bf9a,1,0,0,0
45f4e0,1,0,0,0
6c7fae,1,0,0,0
3f6d3b,1,0,0,0
3ae2e0,1,0,0,0
ef1fac,1,0,1,0
ad55ab,1,0,0,0
135caf,1,0,0,0
d643e1,1,0,0,0
7c2626,1,0,0,0
b8d3ca,1,0,0,1
6a9266,1,0,1,0
0af6e5,1,0,0,0
d9d74a,1,0,0,0
68d829,1,0,0,0
f9cd79,1,0,0,0
2d597a,1,0,0,0
623aff,1,0,0,0
8bb079,1,0,0,0
79bedc,1,0,0,0
0b8e09,1,0,0,0
24a700,1,0,0,0
4e7670,1,0,0,0
75da11,1,0,0,0
95bcea,1,0,0,0
71d3b8,1,0,1,0
aced70,1,0,0,0
d908c0,1,0,1,0
037036,1,0,0,0
cdd2c0,1,0,0,0
acc42e,1,0,1,0
3cdac9,1,0,0,0
b3c0ae,1,0,0,0
b65417,1,0,0,0
8bdf0c,1,0,0,0
53ad7a,1,0,0,0
2e46c2,1,0,0,0
236e72,1,0,0,0
35eb00,1,0,0,0
103946,1,0,1,0
608662,1,0,0,0
5c0884,1,0,0,0
552398,1,0,1,0
c4923f,1,0,0,0
103d1d,1,0,0,1
15e092,1,0,0,0
be3b49,1,0,0,0
c58315,1,0,0,0
70d7e2,1,0,0,0
31c1cd,1,0,1,0
361e09,1,0,0,0
6c94d5,1,0,0,0
87b4f5,1,0,0,0
a3256d,1,0,0,0
79771f,1,0,0,0
3f2704,1,0,0,0
dae478,1,0,0,1
2e0479,1,0,0,0
c2c7ce,1,0,0,0
c1ded0,1,0,0,0
9b88d1,1,0,0,1
fe8691,1,0,0,0
cbeb87,1,0,0,0
9cdd7c,1,0,0,0
dd433f,1,0,0,0
8fc3c5,1,0,0,1
480ff0,1,0,0,0
9e2ee0,1,0,0,0
10733d,1,0,1,0
63d424,1,0,0,1
e243ef,1,0,0,0
712d92,1,0,0,0
cddd0c,1,0,0,0
677e73,1,0,0,0
7e9143,1,0,0,0
b779a2,1,0,0,0
0abb5b,1,0,0,0
396732,1,0,0,0
21b968,1,0,0,0
62c36f,1,0,0,0
c002e5,1,0,0,0
fe9ca4,1,0,0,0
ca7a60,1,0,0,0
5d8f95,1,0,0,0
b90bd6,1,0,0,1
9f15fc,1,0,0,0
feb109,1,0,0,0
a78a06,1,0,0,0
9ce170,1,0,0,1
efc560,1,0,0,0
ffff62,1,0,0,0
ac2242,1,0,1,0
a3307e,1,0,0,0
6eae25,1,0,0,0
fc5ca1,1,0,0,0
2f602d,1,0,0,0
9037f4,1,0,0,1
bc3d85,1,0,0,0
751648,1,0,0,0
16d768,1,0,0,0
14cc22,1,0,0,0
d11851,1,0,0,0
269642,1,0,1,0
5ea497,1,0,0,0
35406f,1,0,0,0
254c95,1,0,0,0
12d960,1,0,0,0
9fa9c9,1,0,0,0
093e5c,1,0,0,0
3bf323,1,0,0,0
d1f01a,1,0,0,0
31b5cf,1,0,0,0
c1b6a3,1,0,0,1
77cfe2,1,0,0,1
ee02da,1,0,0,0
07f267,1,0,0,0
4b05a5,1,0,0,0
e26707,1,0,0,0
e610d0,1,0,0,0
680460,1,0,0,0
738e60,1,0,0,0
035917,1,0,1,0
584b42,1,0,0,0
00cc91,1,0,0,0
1c6072,1,0,1,0
44430d,1,0,0,0
4b15ed,1,0,0,0
e0ba21,1,0,0,0
a545fa,1,0,0,0
8e6596,1,0,1,0
ce2fc3,1,0,0,0
404f5f,1,0,0,0
25ceef,1,0,0,0
b7c990,1,0,0,1
1c95c9,1,0,0,1
3a3990,1,0,0,1
cc180b,1,0,0,0
87313c,1,0,1,0
e87675,1,0,0,0
adc212,1,0,0,0
8e1e38,1,0,1,0
c55e6b,1,0,0,0
293c22,1,0,0,0
752c15,1,0,0,0
5ddbe5,1,0,0,0
e9279c,1,0,0,0
dc9b3f,1,0,0,1
771ddb,1,0,0,0
02eccf,1,0,0,0
d09a43,1,0,1,0
9fe94f,1,0,0,0
544597,1,0,0,0
91b15d,1,0,0,0
2c517a,1,0,0,0
986c32,1,0,0,0
e7d4e1,1,0,0,0
f5396c,1,0,0,0
20e812,1,0,0,0
f38722,1,0,0,1
8bbb17,1,0,0,0
fca78c,1,0,0,0
4201f2,1,0,0,0
44e0ca,1,0,0,0
9cf704,1,0,0,0
8a9dcc,1,0,0,0
a1c319,1,0,0,0
469355,1,0,0,0
517f9f,1,0,0,0
b6e2ac,1,0,0,1
48b412,1,0,0,0
743255,1,0,0,0
5958d4,1,0,0,1
14d35a,1,0,1,0
e71018,1,0,0,0
fae72b,1,0,0,0
f59516,1,0,0,0
930500,1,0,0,0
bf92cd,1,0,0,0
833d2c,1,0,0,0
e4bc0a,1,0,0,0
ce38a2,1,0,0,0
e8b80f,1,0,0,0
3be4c6,1,0,0,0
6ff0be,1,0,0,1
5690f1,1,0,0,0
7af4db,1,0,1,0
4b7f7f,1,0,0,0
d9a524,1,0,0,1
713455,1,0,0,0
87c28c,1,0,0,0
50d0be,1,0,1,0
564284,1,0,0,1
91c576,1,0,0,0
2542f0,1,0,0,0
c8eedc,1,0,0,0
f1157f,1,0,0,0
04f851,1,0,0,0
1ed7ee,1,0,0,0
a4e45e,1,0,0,1
b1451b,1,0,0,0
d6b49d,1,0,0,0
2c1651,1,0,0,0
b4b0bf,1,0,1,0
cd87f6,1,0,1,0
c08589,1,0,0,0
2699ee,1,0,0,0
000cbb,1,0,0,0
0a98b7,1,0,0,0
b2c804,1,0,0,0
633fc2,1,0,0,0
bd999e,1,0,0,0
ab0975,1,0,1,0
26a638,1,0,0,0
c08892,1,0,1,0
2e525c,1,0,0,0
551245,1,0,1,0
aee625,1,0,0,0
004c0a,1,0,0,0
6cbb60,1,0,0,1
686f35,1,0,0,0
b47dac,1,0,0,0
ad6aea,1,0,0,0
730ebe,1,0,0,0
cb2836,1,0,0,1
1cd239,1,0,0,0
5dba95,1,0,1,0
9c1d3b,1,0,0,0
230405,1,0,1,0
fbb887,1,0,0,0
b8ace0,1,0,0,0
85c7ff,1,0,0,0
753067,1,0,0,0
57d4ff,1,0,0,0
4af01c,1,0,1,0
deb684,1,0,0,0
fcd74c,1,0,0,0
7e838e,1,0,0,0
efe96c,1,0,0,0
7966ab,1,0,0,0
08fb11,1,0,0,0
ec5a79,1,0,0,0
eaf229,1,0,0,1
13859f,1,0,0,0
274d41,1,0,1,0
4607f8,1,0,0,0
a762d2,1,0,0,0
eee374,1,0,0,0
fd072f,1,0,0,0
72b594,1,0,0,1
d64835,1,0,0,0
508265,1,0,0,0
0758c3,1,0,1,0
4116fd,1,0,0,1
3d5e65,1,0,0,0
b384ab,1,0,0,0
0aa947,1,0,0,0
f1518c,1,0,0,0
fafac2,1,0,0,0
935539,1,0,0,0
44c2f2,1,0,0,0
e9f23e,1,0,0,0
406602,1,0,0,0
93852b,1,0,0,0
1747fe,1,0,1,0
17a379,1,0,0,0
43277c,1,0,0,0
a1f227,1,0,0,0
aa2f9c,1,0,0,0
3c9ff1,1,0,0,1
b1f168,1,0,0,0
ec4683,1,0,0,0
3081b8,1,0,0,0
8a931a,1,0,0,1
2e782c,1,0,0,0
8e1262,1,0,0,0
fc4149,1,0,0,0
20da28,1,0,0,0
1126a2,1,0,0,0
88e24d,1,0,0,0
d52039,1,0,0,1
2499e8,1,0,0,0
87f08b,1,0,0,0
8e3325,1,0,0,0
d748d5,1,0,0,0
a0d31b,1,0,0,1
f4e63a,1,0,1,0
1e8e46,1,0,0,0
a1b377,1,0,0,0
834d84,1,0,0,0
1b672e,1,0,1,0
41c796,1,0,0,0
373d5a,1,0,0,0
fdea4e,1,0,0,0
99f06d,1,0,0,0
256f4f,1,0,0,0
fe1163,1,0,0,1
0b4d16,1,0,1,0
300043,1,0,0,0
543aca,1,0,0,0
1d3b3c,1,0,0,0
48ccd9,1,0,0,0
cd2f27,1,0,0,1
e3d556,1,0,0,0
cf3a1b,1,0,0,0
ea36c1,1,0,0,0
de5db2,1,0,0,0
c30f9d,1,0,0,0
297c41,1,0,1,0
5dc2a1,1,0,0,0
a3d1d7,1,0,0,0
0910f8,1,0,1,0
248d88,1,0,0,1
660a92,1,0,1,0
b39f25,1,0,0,0
68d998,1,0,0,0
019c32,1,0,0,0
18803b,1,0,0,0
aac4f8,1,0,1,0
54232d,1,0,0,0
885a84,1,0,0,0
71b5d7,1,0,0,0
fafd86,1,0,0,0
f04b1e,1,0,1,0
393502,1,0,0,0
b67c51,1,0,0,0
ebda7d,1,0,0,0
74875e,1,0,0,0
108fd8,1,0,0,0
a7543f,1,0,0,0
75e67c,1,0,0,0
a9bc98,1,0,0,0
3c3e8d,1,0,0,0
67eefe,1,0,0,1
6aa3f5,1,0,0,0
55eda8,1,0,0,0
7a8cff,1,0,0,0
a2bb57,1,0,0,0
c777f7,1,0,0,0
06622f,1,0,0,0
153be9,1,0,0,0
0db263,1,0,0,0
d006de,1,0,0,0
c72df6,1,0,0,1
8f59f0,1,0,0,1
078b5c,1,0,0,0
523f24,1,0,1,0
45c1fe,1,0,0,0
d30732,1,0,0,0
79dfd7,1,0,1,0
0a3cc9,1,0,0,0
d6c436,1,0,0,0
5153ed,1,0,0,0
a43dd5,1,0,0,0
6b9aed,1,0,0,0
ce9469,1,0,0,0
b81e15,1,0,1,0
43cbf3,1,0,0,0
f1ae85,1,0,0,0
db5c28,1,0,0,0
2b691e,1,0,0,0
a0849b,1,0,0,0
686cab,1,0,0,0
b968ab,1,0,0,0
aa70fc,1,0,1,0
8f9db4,1,0,1,0
050197,1,0,0,0
84bf49,1,0,0,0
06598b,1,0,0,0
0d54c8,1,0,0,0
de75ad,1,0,0,0
d8ae25,1,0,0,0
6cc6d2,1,0,1,0
97a692,1,0,0,0
901d14,1,0,0,0
ef2266,1,0,0,0
60fe16,1,0,0,0
44dfe0,1,0,0,1
4a5cab,1,0,1,0
49f0ff,1,0,0,1
49e2ad,1,0,0,0
082c1f,1,0,0,0
84eba7,1,0,0,0
1513a5,1,0,0,1
5eae55,1,0,0,0
563a51,1,0,1,0
b2019b,1,0,0,0
61de49,1,0,0,0
b24aa7,1,0,0,0
e5de4b,1,0,0,0
3d70a4,1,0,0,0
efd696,1,0,0,0
af0339,1,0,0,1
72db7d,1,0,0,0
5961f0,1,0,1,0
c14697,1,0,0,0
d0da16,1,0,1,0
be5b7d,1,0,0,0
111b29,1,0,0,0
2e8144,1,0,0,1
a28018,1,0,0,0
9ce99b,1,0,0,0
4842d4,1,0,0,0
f45453,1,0,0,0
3cd024,1,0,0,0
ce7cea,1,0,0,0
c959d0,1,0,0,0
6801f7,1,0,0,0
1d5d65,1,0,1,0
e435b0,1,0,0,0
a92055,1,0,0,0
b78092,1,0,0,0
0dbd03,1,0,0,1
7484ee,1,0,0,1
db6cc8,1,0,0,0
07a543,1,0,0,0
fbe1ce,1,0,1,0
baad98,1,0,0,0
0cbd99,1,0,0,0
730aeb,1,0,0,0
42bec9,1,0,0,1
3ab1a7,1,0,1,0
232550,1,0,0,0
f4c616,1,0,0,1
ccc9a6,1,0,0,0
5e088f,1,0,0,0
c6fa61,1,0,0,1
38a601,1,0,0,1
148e61,1,0,0,0
c1c128,1,0,0,0
18e31a,1,0,0,0
0e70e8,1,0,0,1
a20266,1,0,0,0
1cf321,1,0,0,0
5d13a7,1,0,0,0
46412a,1,0,1,0
4cc469,1,0,0,0
e94876,1,0,0,1
a0f5f2,1,0,0,0
b52df9,1,0,0,0
a7a33d,1,0,0,0
96fdb7,1,0,1,0
dcc605,1,0,0,0
0b0683,1,0,0,0
0fe3de,1,0,0,0
44ddbb,1,0,0,0
943e79,1,0,0,0
b99a26,1,0,0,0
245419,1,0,0,0
9b386c,1,0,0,0
d75a9d,1,0,0,0
79fd5d,1,0,0,0
7d61eb,1,0,0,0
76f44a,1,0,1,0
58764a,1,0,0,1
a85ff8,1,0,0,0
1fe930,1,0,0,0
55640f,1,0,0,0
bca71a,1,0,1,0
e3bd7f,1,0,0,0
e9782f,1,0,1,0
4446a2,1,0,0,0
95fcdd,1,0,0,0
dfe846,1,0,0,0
f60759,1,0,0,0
33eb47,1,0,0,1
b06b7b,1,0,0,0
28a444,1,0,0,0
c6b4ef,1,0,0,0
8b1da4,1,0,0,0
90bd43,1,0,0,1
50afef,1,0,0,0
a72bca,1,0,0,0
3496f6,1,0,0,0
a718d2,1,0,0,0
a7e85b,1,0,0,0
6a41af,1,0,0,0
bf6ed3,1,0,0,0
1daadb,1,0,0,0
f928f4,1,0,0,0
760b97,1,0,1,0
12931b,1,0,0,0
0bb188,1,0,0,0
092756,1,0,0,0
40c993,1,0,0,0
99b129,1,0,0,0
f8111f,1,0,0,0
2d0013,1,0,1,0
f44bfc,1,0,0,0
c0446f,1,0,0,0
14a7ed,1,0,0,0
25a2ff,1,0,0,0
8439a5,1,0,0,1
989bfe,1,0,0,1
deba2d,1,0,0,0
b32fd0,1,0,0,0
dc37e6,1,0,0,0
7528eb,1,0,0,0
e7091a,1,0,0,0
728ef2,1,0,0,0
45a721,1,0,0,0
aec268,1,0,0,0
ee71cb,1,0,0,0
fb573d,1,0,1,0
41c5a8,1,0,0,0
25799c,1,0,0,0
ffc8c5,1,0,0,1
